date,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount
2023-01-20,113.4100,114.1200,109.5800,113.3500,109.5866,62385526,0.0000
2023-01-13,111.6400,113.7400,107.8100,113.1500,109.3933,77148231,0.0000
2023-01-06,109.7800,111.9900,104.7600,110.5300,106.8602,65499254,0.0000
2022-12-30,109.2700,110.5000,107.9020,110.3000,106.6379,44997801,0.0000
2022-12-23,105.2600,108.7400,104.1000,108.6800,105.0717,66611437,0.0000
2022-12-16,103.8300,108.5400,103.1301,104.7000,101.2238,132280363,0.0000
2022-12-09,110.7000,111.3600,102.3700,103.5400,100.1023,102973408,0.0000
2022-12-02,110.6600,112.0700,109.2000,109.8600,106.2125,90275603,0.0000
2022-11-25,109.9900,114.6100,107.4800,113.2100,109.4513,57374764,0.0000
2022-11-18,112.6300,114.6400,109.6100,112.0800,108.3588,81673779,0.9100
2022-11-11,112.4100,114.6642,107.5701,113.9500,109.2895,90857413,0.0000
2022-11-04,109.5000,113.5000,108.3100,112.3100,107.7165,103921893,0.0000
2022-10-28,105.6600,111.2100,105.0700,110.7000,106.1724,96517922,0.0000
2022-10-21,101.0700,106.4000,99.2300,105.8600,101.5303,89733544,0.0000
2022-10-14,101.4900,102.4500,96.7500,99.1900,95.1331,84474752,0.0000
2022-10-07,90.0400,103.3150,89.7200,101.0300,96.8979,134505105,0.0000
2022-09-30,84.9000,89.3582,83.8900,87.3100,83.7390,98147539,0.0000
2022-09-23,91.0100,93.8800,84.8500,85.7500,82.2428,90692418,0.0000
2022-09-16,97.6500,99.1900,92.0000,93.2100,89.3977,115970725,0.0000
2022-09-09,96.1600,97.0000,92.3000,96.5000,92.5532,71154741,0.0000
2022-09-02,98.1800,101.5550,92.2901,95.5900,91.6804,93057366,0.0000
2022-08-26,93.4200,99.9100,91.8600,97.8700,93.8671,87672070,0.0000
2022-08-19,90.5300,95.3100,89.6600,94.0800,90.2321,82370410,0.0000
2022-08-12,88.6100,94.3000,88.2200,94.0000,90.1554,85708652,0.8800
2022-08-05,94.7900,95.3500,86.2800,88.4500,84.0388,110325969,0.0000
2022-07-29,88.1600,97.5150,87.4200,96.9300,92.0959,100903438,0.0000
2022-07-22,86.5800,89.6500,85.2100,87.0800,82.7371,91084268,0.0000
2022-07-15,85.1700,86.3126,80.6900,84.5400,80.3238,100136744,0.0000
2022-07-08,86.3400,87.3000,81.0100,86.0800,81.7870,109468233,0.0000
2022-07-01,87.8100,93.2400,84.6700,87.5500,83.1837,150278544,0.0000
2022-06-24,88.5800,92.5300,83.5200,86.9000,82.5661,128117285,0.0000
2022-06-17,97.5200,98.6700,85.6550,86.1200,81.8250,194612793,0.0000
2022-06-10,99.1800,105.5700,98.6700,100.4600,95.4499,147698121,0.0000
2022-06-03,98.5600,99.7750,95.7050,99.0900,94.1482,110830762,0.0000
2022-05-27,92.6600,97.9300,92.3200,97.5900,92.7230,131384131,0.0000
2022-05-20,88.9800,93.5900,88.9700,91.8600,87.2788,127855523,0.0000
2022-05-13,89.4400,89.5600,83.4000,88.8600,84.4284,168645427,0.8800
2022-05-06,85.0100,92.0500,84.6300,91.6900,86.2379,186962641,0.0000
2022-04-29,82.3700,88.1400,79.2900,85.2500,80.1808,167666002,0.0000
2022-04-22,88.5000,89.8000,85.0000,85.1300,80.0679,112509708,0.0000
2022-04-14,85.7800,88.4600,83.5000,87.8300,82.6074,88117544,0.0000
2022-04-08,83.5600,87.2100,82.0500,86.8400,81.6763,118334289,0.0000
2022-04-01,83.1700,84.4000,79.7600,83.1200,78.1775,117200176,0.0000
2022-03-25,80.1200,85.4900,79.7400,85.2000,80.1338,125120555,0.0000
2022-03-18,83.0600,83.4500,76.2500,78.6700,73.9921,197790538,0.0000
2022-03-11,84.9200,91.5050,81.6000,84.9200,79.8704,272704432,0.0000
2022-03-04,76.5100,84.2750,76.2000,84.0900,79.0898,189569486,0.0000
2022-02-25,79.6700,79.7900,74.0300,77.8400,73.2114,135680493,0.0000
2022-02-18,79.5800,79.8400,76.4200,77.3600,72.7600,128609632,0.0000
2022-02-11,81.1400,83.0800,77.7920,80.2100,75.4405,179941349,0.8800
2022-02-04,74.9700,82.5300,74.2650,81.4100,75.7256,188144824,0.0000
2022-01-28,70.8800,76.0100,69.8050,75.2800,70.0236,175877280,0.0000
2022-01-21,72.8200,74.3700,71.0400,72.1700,67.1308,119802797,0.0000
2022-01-14,68.9700,72.1450,67.9500,71.8700,66.8517,121769483,0.0000
2022-01-07,61.2400,69.1800,61.2100,68.8800,64.0705,151561423,0.0000
2021-12-31,60.9300,62.3100,60.4200,61.1900,56.9175,64057560,0.0000
2021-12-23,58.7900,61.8400,57.9600,61.0200,56.7593,69219825,0.0000
2021-12-17,62.4700,62.7200,59.6900,60.0300,55.8385,125949443,0.0000
2021-12-10,61.7200,63.3500,61.4199,63.0100,58.6104,92078023,0.0000
2021-12-03,62.5700,63.1400,59.1400,60.8900,56.6384,135827098,0.0000
2021-11-26,60.3200,63.8450,59.5400,61.2500,56.9733,84033925,0.0000
2021-11-19,63.7600,65.3700,60.4100,60.6700,56.4338,100358510,0.0000
2021-11-12,65.5500,66.3800,63.5800,63.8200,59.3638,87793442,0.8800
2021-11-05,65.0650,66.0795,63.6600,65.0200,59.6621,89402961,0.0000
2021-10-29,63.7200,65.9400,63.5800,64.4700,59.1574,105882056,0.0000
2021-10-22,63.0900,63.8725,62.2700,63.1200,57.9187,82352589,0.0000
2021-10-15,63.0300,63.0700,60.2100,62.5900,57.4323,91998866,0.0000
2021-10-08,61.3200,62.6950,59.7500,62.1800,57.0561,130573648,0.0000
2021-10-01,58.8500,60.9900,58.8100,60.9300,55.9091,149711280,0.0000
2021-09-24,53.7800,57.8200,52.9600,57.5900,52.8444,118340455,0.0000
2021-09-17,54.6500,56.7500,54.4100,55.1600,50.6146,113175078,0.0000
2021-09-10,54.6700,55.2700,53.3000,53.9800,49.5318,67347607,0.0000
2021-09-03,56.2400,56.3400,53.6000,54.8700,50.3485,99984438,0.0000
2021-08-27,53.9500,56.2139,53.9500,55.7700,51.1743,80483564,0.0000
2021-08-20,56.0200,56.2967,52.1000,52.7400,48.3940,102945006,0.0000
2021-08-13,57.1300,58.5000,56.3000,56.7700,52.0919,91605078,0.8700
2021-08-06,57.5500,59.0600,56.8100,57.8600,52.2987,90018946,0.0000
2021-07-30,57.1600,59.3300,57.0000,57.5700,52.0366,99225298,0.0000
2021-07-23,55.6400,58.3000,54.5950,57.0400,51.5576,113215909,0.0000
2021-07-16,60.4200,61.7300,57.1500,57.3200,51.8106,103430966,0.0000
2021-07-09,62.7500,62.7600,59.3100,61.2300,55.3448,82804107,0.0000
2021-07-02,64.5600,64.5600,62.4210,63.1700,57.0984,95124589,0.0000
2021-06-25,60.9300,64.9250,60.9000,64.6600,58.4452,116994112,0.0000
2021-06-18,62.3000,64.8000,60.2400,60.4000,54.5946,140552546,0.0000
2021-06-11,61.3300,63.9750,60.6700,62.1700,56.1945,118684793,0.0000
2021-06-04,59.4500,61.7000,59.4500,61.4500,55.5437,92153074,0.0000
2021-05-28,59.0800,59.8000,57.9000,58.3700,52.7597,118521104,0.0000
2021-05-21,60.5400,62.3000,58.2400,58.9200,53.2569,120828294,0.0000
2021-05-14,63.2400,64.0200,58.7500,60.7700,54.9290,145950441,0.8700
2021-05-07,57.9800,62.4700,57.7400,62.4300,55.6235,136005357,0.0000
2021-04-30,55.4700,59.4800,55.4400,57.2400,50.9993,117928885,0.0000
2021-04-23,56.7500,57.1400,54.3000,55.5700,49.5114,96472510,0.0000
2021-04-16,56.7550,58.0100,55.0900,56.6600,50.4826,113662803,0.0000
2021-04-09,57.3000,57.5399,55.3200,55.8700,49.7787,106596111,0.0000
2021-04-01,57.3400,57.8200,55.8000,57.3900,51.1330,88328754,0.0000
2021-03-26,56.5000,57.7800,54.4500,57.7100,51.4181,158312542,0.0000
2021-03-19,61.4900,61.8550,55.8101,56.4900,50.3311,210526027,0.0000
2021-03-12,61.5800,62.5500,59.4700,61.9700,55.2136,150604910,0.0000
2021-03-05,56.4700,61.0500,55.8800,60.9300,54.2870,206227193,0.0000
2021-02-26,52.5900,57.2450,52.5900,54.3700,48.4422,161732328,0.0000
2021-02-19,51.9600,53.2695,51.6200,52.3700,46.6603,96738582,0.0000
2021-02-12,50.9200,52.3600,48.7800,50.5200,45.0120,137875993,0.8700
2021-02-05,45.5800,50.1200,44.2900,49.9500,43.7523,144879821,0.0000
2021-01-29,46.9000,47.8600,44.5100,44.8400,39.2764,146711295,0.0000
2021-01-22,48.4500,49.7400,46.6400,47.4300,41.5450,99598427,0.0000
2021-01-15,45.0400,51.0800,44.7500,47.8900,41.9479,181754419,0.0000
2021-01-08,41.4500,45.8200,41.0000,45.4600,39.8194,166440965,0.0000
2020-12-31,41.6900,42.5500,40.9700,41.2200,36.1055,90595658,0.0000
2020-12-24,41.1100,42.3900,40.5300,41.6000,36.4384,76806378,0.0000
2020-12-18,44.3400,44.4600,42.0600,42.7300,37.4282,159909177,0.0000
2020-12-11,41.4200,44.4690,40.4400,43.8000,38.3654,158835563,0.0000
2020-12-04,39.8000,41.7600,37.9700,41.6800,36.5084,164978659,0.0000
2020-11-27,37.5000,42.0800,37.2800,40.1900,35.2033,119060059,0.0000
2020-11-20,37.5900,39.1250,36.5600,36.9400,32.3566,141499844,0.0000
2020-11-13,36.4200,38.0100,34.8700,36.0800,31.6033,220274730,0.8700
2020-11-06,33.1400,34.4900,32.5300,32.7800,28.0507,177123045,0.0000
2020-10-30,33.6100,33.7700,31.1100,32.6200,27.9137,186646554,0.0000
2020-10-23,34.1000,35.0800,33.0200,34.1600,29.2316,134566332,0.0000
2020-10-16,34.5400,34.8700,33.2650,34.1000,29.1802,102552919,0.0000
2020-10-09,33.3200,35.9500,33.1700,34.7400,29.7279,137118514,0.0000
2020-10-02,35.1400,35.9000,32.2100,32.9800,28.2218,135993628,0.0000
2020-09-25,36.4300,36.8400,33.7600,34.6400,29.6423,144188456,0.0000
2020-09-18,36.9100,38.1500,36.2100,37.1900,31.8244,152319988,0.0000
2020-09-11,38.2500,38.8400,36.4900,36.9000,31.5762,125602386,0.0000
2020-09-04,40.6400,40.7200,38.6500,39.0800,33.4417,127600841,0.0000
2020-08-28,41.2800,42.5078,39.3050,40.6900,34.8194,141800837,0.0000
2020-08-21,43.1700,43.1900,40.7100,41.0100,35.0933,84121362,0.0000
2020-08-14,43.9900,46.4200,42.4100,43.2000,36.9673,106798474,0.8700
2020-08-07,42.0500,44.3100,41.4700,43.4400,36.4534,91403213,0.0000
2020-07-31,43.2300,44.2500,40.9100,42.0800,35.3121,113905642,0.0000
2020-07-24,43.2100,45.1900,42.4800,43.4300,36.4450,103054794,0.0000
2020-07-17,42.9800,45.0900,42.2300,43.5200,36.5205,91353192,0.0000
